Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
1,USA,104196861,1132935,101322779,1741147,1159832679,334805269
2,India,44682784,530740,44150289,1755,915265788,1406631776
3,France,39524311,164233,39264546,95532,271490188,65584518
4,Germany,37779833,165711,37398100,216022,122332384,83883596
5,Brazil,36824580,697074,35919372,208134,63776166,215353593
6,Japan,32588442,68399,21567425,10952618,92144639,125584838
7,S. Korea,30197066,33486,29740877,422703,15804065,51329899
8,Italy,25453789,186833,25014986,251970,265478247,60262770
9,UK,24274361,204171,24020088,50102,522526476,68497907
10,Russia,21958696,395108,21356008,207580,273400000,145805947
11,Turkey,17042722,101492,N/A,N/A,162743369,85561976
12,Spain,13731478,118434,13557699,55345,471036328,46719142
13,Vietnam,11526508,43186,10612479,870843,85826548,98953541
14,Australia,11295446,18615,11235771,41060,78835048,26068792
15,Argentina,10037135,130421,9877032,29682,35716069,46010234
16,Taiwan,9569611,16356,9129766,423489,30207485,23888595
17,Netherlands,8582500,22989,8547771,11740,25984435,17211447
18,Iran,7564350,144749,7337549,82052,54420785,86022837
19,Mexico,7368252,332198,6606633,429421,19356195,131562772
20,Indonesia,6730289,160817,6565208,4264,114158919,279134505
21,Poland,6380225,118736,5335940,925549,38118630,37739785
22,Colombia,6356309,142486,6179501,34322,36951507,51512762
23,Austria,5780229,21689,5730189,28351,211273524,9066710
24,Greece,5708301,35630,5662212,10459,102228365,10316637
25,Portugal,5563907,26022,5532366,5519,45915651,10140570
26,Ukraine,5370131,111020,5253302,5809,32603805,43192122
27,Chile,5118981,63812,5051555,3614,48127301,19250195
28,Malaysia,5036593,36942,4989861,9790,67665089,33181072
29,Israel,4786189,12193,4768242,5754,41373364,9326000
30,DPRK,4772813,74,4772739,0,N/A,25990679
31,Thailand,4726984,33865,4692636,483,17270775,70078203
32,Belgium,4691499,33557,4644681,13261,36548544,11668278
33,Czechia,4590019,42312,4538304,9403,56893223,10736784
34,Canada,4550256,50380,4444013,55863,66343123,38388419
35,Peru,4481621,218931,4258688,4002,37754603,33684208
36,Switzerland,4385701,14452,4366770,4479,23318743,8773637
37,Philippines,4073454,65802,3998048,9604,34343332,112508994
38,South Africa,4055966,102595,3912506,40865,26473049,60756135
39,Romania,3325006,67576,3252104,5326,26389988,19031335
40,Denmark,3173247,8145,3163849,1253,129144754,5834950
41,Hong Kong,2877280,13358,2509483,354439,76123870,7604299
42,Sweden,2693458,23246,2658039,12173,19410527,10218971
43,Serbia,2471198,17701,2440527,12970,12154486,8653016
44,Iraq,2465545,25375,2439497,673,19544451,42164965
45,Singapore,2217110,1722,2144490,70898,24756666,5943546
46,Hungary,2192447,48677,2139857,3913,11394556,9606259
47,New Zealand,2182355,3781,2169320,9254,7710637,4898203
48,Bangladesh,2037556,29442,1992694,15420,15247014,167885689
49,Slovakia,1860893,20946,1839309,638,7390781,5460193
50,Georgia,1814180,16926,1776548,20706,16920079,3968738
51,Jordan,1746997,14122,1731007,1868,17201885,10300869
52,Ireland,1700253,8462,1685183,6608,12984257,5020199
53,Pakistan,1576313,30640,1538689,6984,30570862,229488994
54,Norway,1477856,5112,1471835,909,11002430,5511370
55,Finland,1458619,8639,1447569,2411,12017711,5554960
56,Kazakhstan,1405917,13695,1383020,9202,11575012,19205043
57,Slovenia,1321852,7056,1311159,3637,2824843,2078034
58,Lithuania,1296865,9545,1282528,4792,10350770,2661708
59,Bulgaria,1295426,38179,1254491,2756,10987749,6844597
60,Morocco,1272240,16296,1255881,63,12930733,37772756
61,Croatia,1267580,17877,1249168,535,5476183,4059286
62,Lebanon,1228639,10790,1087587,130262,4795578,6684849
63,Guatemala,1227853,20106,1204545,3202,6757892,18584039
64,Bolivia,1187986,22346,1146143,19497,2705422,11992656
65,Costa Rica,1186176,9158,860711,316307,4659757,5182354
66,Tunisia,1150356,29308,N/A,N/A,4997373,12046656
67,Cuba,1112438,8530,1103799,109,14298479,11305652
68,Ecuador,1051239,35942,1011682,3615,3082403,18113361
69,UAE,1049409,2348,1032735,14326,198638806,10081785
70,Uruguay,1032710,7609,1023939,1162,6114822,3496016
71,Panama,1029701,8596,1020206,899,7475016,4446964
72,Mongolia,1007871,2179,1005658,34,4030048,3378078
73,Nepal,1001102,12020,989064,18,6003944,30225582
74,Belarus,994037,7118,985592,1327,13646641,9432800
75,Latvia,975355,6218,968830,307,7858319,1848837
76,Saudi Arabia,827962,9574,815528,2860,45048008,35844909
77,Azerbaijan,827944,10085,817654,205,7487550,10300205
78,Paraguay,806256,19820,N/A,N/A,2657506,7305843
79,Bahrain,700452,1543,698400,509,10682444,1783983
80,Sri Lanka,671989,16828,655158,3,6486117,21575842
81,Kuwait,662858,2570,660237,51,8455743,4380326
82,Dominican Republic,660095,4384,644785,10926,3740928,11056370
83,Cyprus,642663,1287,633422,7954,9640118,1223387
84,Myanmar,633820,19490,614299,31,9941945,55227143
85,Palestine,621008,5404,615445,159,3078533,5345541
86,Estonia,613891,2912,524990,85989,3659157,1321910
87,Moldova,598673,11953,504142,82578,3216305,4013171
88,Venezuela,551587,5845,545003,739,3359014,29266991
89,Egypt,515645,24613,442182,48850,3693367,106156692
90,Libya,507162,6437,500721,4,2483446,7040745
91,China,503302,5272,379053,118977,160000000,N/A
92,Ethiopia,499531,7572,486531,5428,5459809,120812698
93,Qatar,492534,686,491585,263,4065369,2979915
94,Réunion,485895,919,418572,66404,1603660,908061
95,Honduras,470757,11104,N/A,N/A,1619676,10221247
96,Armenia,446008,8717,435162,2129,3242901,2971966
97,Bosnia and Herzegovina,401384,16255,379084,6045,1884721,3249317
98,Oman,399449,4628,384669,10152,25000000,5323993
99,North Macedonia,346428,9638,336623,167,2216193,2081304
100,Kenya,342810,5688,337040,82,3967062,56215221
101,Zambia,340763,4047,335104,1612,3865993,19470234
102,Albania,334167,3595,328951,1621,1941032,2866374
103,Botswana,329227,2800,325934,493,2026898,2441162
104,Luxembourg,297757,1133,288991,7633,4412567,642371
105,Montenegro,286355,2797,283210,348,2697814,627950
106,Brunei,275220,225,243601,31394,717784,445431
107,Algeria,271378,6881,182749,81748,230861,45350148
108,Nigeria,266463,3155,259850,3458,5708974,216746934
109,Zimbabwe,261606,5652,254951,1003,2525756,15331428
110,Uzbekistan,250567,1637,241486,7444,1377915,34382084
111,Mozambique,231994,2233,228805,956,1371127,33089461
112,Martinique,229687,1097,N/A,N/A,828928,374087
113,Laos,217973,758,N/A,N/A,1233207,7481023
114,Iceland,208688,229,N/A,N/A,1996384,345393
115,Afghanistan,208545,7882,186088,14575,1188898,40754388
116,Kyrgyzstan,206592,2991,196406,7195,1907195,6728271
117,El Salvador,201785,4230,179410,18145,2610114,6550389
118,Guadeloupe,201394,1007,N/A,N/A,938039,399794
119,Trinidad and Tobago,187908,4326,183264,318,888936,1406585
120,Maldives,185715,311,163687,21717,2213831,540985
121,Ghana,171112,1462,169636,14,2527319,32395450
122,Namibia,170741,4088,166452,201,1062663,2633874
123,Uganda,170400,3630,100431,66339,3012408,48432863
124,Jamaica,153407,3480,102212,47715,1183986,2985094
125,Cambodia,138693,3056,135624,13,3091420,17168639
126,Rwanda,133090,1468,131559,63,5959042,13600464
127,Cameroon,123993,1965,118616,3412,1751774,27911548
128,Malta,117062,824,115623,615,2109235,444033
129,Barbados,106157,571,105570,16,790354,288023
130,Angola,105184,1931,103216,37,1499795,35027343
131,Channel Islands,101116,223,100778,115,1252808,176463
132,French Guiana,98028,420,11254,86354,651257,314169
133,DRC,95514,1463,84264,9787,846704,95240792
134,Senegal,88902,1971,86929,2,1146543,17653671
135,Malawi,88559,2686,85369,504,624784,20180839
136,Ivory Coast,87982,833,87138,11,1671684,27742298
137,Suriname,82020,1398,N/A,N/A,239603,596831
138,New Caledonia,79845,314,79526,5,98964,290915
139,French Polynesia,77957,649,N/A,N/A,N/A,284164
140,Eswatini,74133,1422,72676,35,1048704,1184817
141,Guyana,72950,1294,71357,299,717867,794045
142,Belize,70660,688,69949,23,576016,412190
143,Fiji,68820,883,66780,1157,667715,909466
144,Madagascar,67827,1419,66370,38,524209,29178077
145,Sudan,63742,5001,58284,457,562941,45992020
146,Mauritania,63665,997,62437,231,1009957,4901981
147,Cabo Verde,63229,413,62756,60,401622,567678
148,Bhutan,62605,21,61564,1020,2303734,787941
149,Syria,57453,3164,54289,0,146269,19364809
150,Burundi,53492,38,53394,60,345742,12624840
151,Seychelles,50665,172,50440,53,N/A,99426
152,Gabon,48981,306,48674,1,1621909,2331533
153,Andorra,47839,165,47563,111,249838,77463
154,Papua New Guinea,46750,670,43982,2098,249149,9292169
155,Curaçao,45986,295,44720,971,496693,165529
156,Aruba,43993,236,42438,1319,177885,107609
157,Tanzania,42664,846,N/A,N/A,N/A,63298550
158,Mayotte,42002,188,N/A,N/A,176919,286259
159,Mauritius,41652,1043,39943,666,358675,1274727
160,Togo,39354,290,39061,3,806803,8680837
161,Guinea,38240,467,37757,16,660107,13865691
162,Isle of Man,38008,116,N/A,N/A,150753,85732
163,Bahamas,37491,833,36366,292,257839,400516
164,Lesotho,34790,723,25980,8087,431221,2175699
165,Faeroe Islands,34658,28,N/A,N/A,778000,49233
166,Haiti,34076,860,33033,183,132422,11680283
167,Mali,32783,743,31957,83,789342,21473764
168,Cayman Islands,31472,37,8553,22882,222773,67277
169,Saint Lucia,29803,409,29095,299,210983,185113
170,Benin,27989,163,27823,3,604310,12784726
171,Somalia,27318,1361,13182,12775,400466,16841795
172,Congo,25375,386,24006,983,347815,5797805
173,Solomon Islands,24575,153,N/A,N/A,N/A,721159
174,San Marino,23427,122,23276,29,157634,34085
175,Timor-Leste,23415,138,23102,175,278529,1369429
176,Micronesia,22676,58,N/A,N/A,54967,117489
177,Burkina Faso,22025,396,21596,33,248995,22102838
178,Liechtenstein,21340,89,21237,14,112457,38387
179,Gibraltar,20399,111,16579,3709,534283,33704
180,Grenada,19680,238,19358,84,182981,113475
181,Bermuda,18766,157,18593,16,1024947,61939
182,Nicaragua,18491,225,4225,14041,N/A,6779100
183,South Sudan,18368,138,18115,115,410280,11618511
184,Tajikistan,17786,125,17264,397,N/A,9957464
185,Equatorial Guinea,17190,183,16883,124,365697,1496662
186,Tonga,16734,13,15638,1083,535009,107749
187,Samoa,16087,29,1605,14453,187397,202239
188,Monaco,16056,65,15982,9,78646,39783
189,Dominica,15760,74,15673,13,229344,72344
190,Djibouti,15690,189,15427,74,305941,1016097
191,Marshall Islands,15584,17,15528,39,N/A,60057
192,CAR,15368,113,15200,55,81294,5016678
193,Gambia,12586,372,12189,25,155686,2558482
194,Saint Martin,12233,63,1399,10771,112382,39730
195,Vanuatu,12014,14,11976,24,24976,321832
196,Greenland,11971,21,2761,9189,164926,56973
197,Yemen,11945,2159,9124,662,329592,31154867
198,Caribbean Netherlands,11661,38,10476,1147,30126,26647
199,Sint Maarten,11010,89,10905,16,62056,43966
200,Eritrea,10189,103,10086,0,23693,3662244
201,Niger,9931,312,8890,729,254538,26083660
202,St. Vincent Grenadines,9585,123,9454,8,113504,111551
203,Antigua and Barbuda,9106,146,8954,6,18901,99509
204,Comoros,8992,161,8827,4,N/A,907419
205,Guinea-Bissau,8947,176,8656,115,145231,2063367
206,Liberia,8062,294,7766,2,139824,5305117
207,Sierra Leone,7760,126,N/A,N/A,259958,8306436
208,Chad,7652,194,4874,2584,191341,17413580
209,British Virgin Islands,7305,64,N/A,N/A,107339,30596
210,Cook Islands,7011,2,6993,16,19690,17571
211,Saint Kitts and Nevis,6592,46,6537,9,126903,53871
212,Turks and Caicos,6522,38,6451,33,611527,39741
213,Sao Tome and Principe,6280,77,6202,1,29036,227679
214,Palau,5986,9,5976,1,68820,18233
215,St. Barth,5420,6,N/A,N/A,78646,9945
216,Kiribati,5008,18,2703,2287,N/A,123419
217,Nauru,4621,1,4609,11,20509,10903
218,Anguilla,3904,12,3879,13,51382,15230
219,Macao,3488,120,3357,11,7850,667490
220,Saint Pierre Miquelon,3452,2,2449,1001,25400,5759
221,Wallis and Futuna,3427,7,438,2982,20508,10982
222,Tuvalu,2805,N/A,N/A,2805,N/A,12066
223,Saint Helena,2166,N/A,2,2164,N/A,6115
224,Falkland Islands,1930,N/A,1930,0,8632,3539
225,Montserrat,1403,8,1376,19,17762,4965
226,Niue,747,N/A,746,1,N/A,1622
227,Diamond Princess,712,13,699,0,N/A,N/A
228,Vatican City,29,N/A,29,0,N/A,799
229,Western Sahara,10,1,9,0,N/A,626161
230,MS Zaandam,9,2,7,0,N/A,N/A
231,Tokelau,5,N/A,N/A,5,N/A,1378
